name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pichiaceae	1156497	family	0	112	0	0.0
Ustilaginoidea_virens	1159556	species	37158136	9552	3036	0.0
Zygotorulaspora	1196389	genus	0	24	0	0.0
Aspergillus_puulaauensis	1220207	species	34318862	492	157	0.0
Kwoniella_botswanensis	1268659	species	23007246	14148	14130	0.0
Cryptococcus_depauperatus_CBS_7841	1295531	strain	16179376	1	1	0.0
Kwoniella_dendrophila_CBS_6074	1295534	strain	23026020	452	146	0.0
Kwoniella_pini_CBS_10737	1296096	strain	20887338	516	219	0.0
Kwoniella_bestiolae_CBS_10118	1296100	strain	24551665	5114	471	0.0
Cryptococcus_bacillisporus_CA1280	1296109	strain	17825526	2794	605	0.0
Kwoniella_dejecticola_CBS_10117	1296121	strain	23932770	382	104	0.0
Rhizoctonia	1322061	genus	0	44	0	0.0
Kwoniella_europaea_PYCC6329	1423913	strain	22833461	44	37	0.0
Malasseziomycetes	1538075	class	0	2945	0	0.0
Kwoniella_shandongensis	1734106	species	21305292	397	141	0.0
Trichosporonaceae	1759442	family	0	9	0	0.0
Lodderomyces_beijingensis	1775926	species	15114296	109	41	0.0
Cutaneotrichosporon	1838142	genus	0	549	0	0.0
Vanrija	1851468	genus	0	1	0	0.0
Trichosporonales	1851469	order	0	725	0	0.0
Cryptococcus_decagattii	1859122	species	17768546	4499	926	0.0
Cryptococcaceae	1884633	family	21319450	322	0	0.0
Malassezia_vespertilionis	2020962	species	7595203	1022	170	0.0
Purpureocillium_takamizusanense	2060973	species	35574015	33068	7304	0.0
Yamadazyma_tenuis	2315449	species	10858197	38	0	0.0
Schizosaccharomyces_osmophilus	2545709	species	11416521	1233	481	0.0
Thermothielavioides_terrestris	2587410	species	36912256	498	0	0.0
Thermothielavioides	2609811	genus	36912256	9	0	0.0
Mycosphaerellales	2726947	order	0	1203	0	0.0
Fulvia	2897311	genus	0	3	0	0.0
Serinales	2916678	order	14618422	2000	0	0.0
Dipodascomycetes	3239873	class	0	3	0	0.0
Pichiomycetes	3239874	class	14618422	535	0	0.0
Dipodascales	3243772	order	0	1445	0	0.0
Pichiales	3243775	order	0	208	0	0.0
Candidozyma	3303203	genus	0	18	0	0.0
